"2/13/2012 22:17:9",78,47.30,81.84,80.37,76.66,71.49,65.07,60.46
"2/13/2012 22:17:15",78,47.30,81.72,80.26,76.66,71.49,65.07,60.46
"2/13/2012 22:17:20",77,47.41,81.61,80.37,76.55,71.49,65.19,60.46
"2/13/2012 22:17:23",77,47.41,81.50,80.37,76.55,71.49,65.07,60.46
"2/13/2012 22:17:25",77,47.30,81.61,80.37,76.44,71.49,65.07,60.46
"2/13/2012 22:17:31",77,47.30,81.61,80.37,76.44,71.49,65.07,60.46
"2/13/2012 22:17:35",77,47.41,81.50,80.26,76.32,71.37,65.07,60.46
"2/13/2012 22:17:37",77,47.41,81.61,80.15,76.32,71.37,65.07,60.46
"2/13/2012 22:17:39",77,47.41,81.50,80.04,76.21,71.37,65.07,60.46
"2/13/2012 22:17:41",77,47.41,81.50,79.93,76.21,71.37,65.07,60.46
"2/13/2012 22:17:48",77,47.41,81.39,79.81,76.10,71.26,65.07,60.46
"2/13/2012 22:17:53",77,47.41,81.39,79.70,75.99,71.26,65.30,60.46
"2/13/2012 22:17:55",77,47.41,81.39,79.59,75.99,71.26,65.19,60.46
"2/13/2012 22:17:56",77,47.30,81.27,79.59,75.99,71.26,65.19,60.46
"2/13/2012 22:17:58",77,47.30,81.27,79.47,75.99,71.26,65.19,60.46
"2/13/2012 22:18:4",77,47.41,81.27,79.36,75.99,71.37,65.19,60.46
"2/13/2012 22:18:6",77,47.41,81.16,79.36,75.87,71.26,65.07,60.46
"2/13/2012 22:18:10",77,47.41,81.16,79.25,75.87,71.26,65.07,60.46
"2/13/2012 22:18:14",76,47.41,81.05,79.25,75.87,71.37,65.07,60.46
"2/13/2012 22:18:17",76,47.41,80.94,79.14,75.87,71.26,65.07,60.46
"2/13/2012 22:18:19",76,47.30,80.82,79.14,75.76,71.37,65.07,60.46
"2/13/2012 22:18:26",76,47.30,80.82,79.14,75.87,71.37,65.07,60.46
"2/13/2012 22:18:29",76,47.30,80.71,79.25,75.76,71.37,65.07,60.46
"2/13/2012 22:18:31",76,47.30,80.71,79.14,75.76,71.37,65.07,60.46
"2/13/2012 22:18:35",76,47.30,80.71,79.02,75.76,71.37,64.96,60.46
"2/13/2012 22:18:38",76,47.30,80.60,78.91,75.65,71.26,64.96,60.46
"2/13/2012 22:18:44",76,47.30,80.60,79.02,75.65,71.37,65.07,60.46
"2/13/2012 22:18:51",75,47.30,80.49,78.80,75.65,71.37,64.96,60.46
"2/13/2012 22:18:55",75,47.53,80.49,78.69,75.54,71.37,64.96,60.46
"2/13/2012 22:19:4",75,47.30,80.37,78.57,75.54,71.49,64.96,60.46
"2/13/2012 22:19:8",75,47.30,80.26,78.57,75.54,71.49,64.96,60.46
"2/13/2012 22:19:11",75,47.30,80.26,78.57,75.43,71.49,64.96,60.46
"2/13/2012 22:19:12",75,47.30,80.26,78.46,75.43,71.37,64.96,60.46
"2/13/2012 22:19:15",75,47.30,80.15,78.57,75.43,71.37,64.96,60.46
"2/13/2012 22:19:18",75,47.30,80.04,78.46,75.31,71.37,64.85,60.46
"2/13/2012 22:19:22",75,47.30,80.15,78.57,75.31,71.37,64.85,60.46
"2/13/2012 22:19:24",75,47.30,80.15,78.46,75.20,71.37,64.85,60.46
"2/13/2012 22:19:26",75,47.41,80.15,78.46,75.20,71.37,64.85,60.46
"2/13/2012 22:19:30",75,47.30,80.04,78.46,75.31,71.37,64.85,60.46
"2/13/2012 22:19:37",74,47.30,79.93,78.46,75.31,71.37,64.74,60.46
"2/13/2012 22:19:43",74,47.41,79.93,78.35,75.31,71.26,64.85,60.46
"2/13/2012 22:19:46",74,47.30,79.93,78.35,75.20,71.26,64.85,60.46
"2/13/2012 22:19:47",75,47.30,79.93,78.35,75.09,71.26,64.74,60.35
"2/13/2012 22:19:51",74,47.30,79.70,78.35,75.09,71.26,64.74,60.35
"2/13/2012 22:19:54",74,47.30,79.81,78.24,75.09,71.26,64.74,60.46
"2/13/2012 22:19:57",74,47.30,79.70,78.24,75.20,71.26,64.74,60.46
"2/13/2012 22:19:59",74,47.41,79.70,78.24,75.09,71.26,64.74,60.35
"2/13/2012 22:20:5",74,47.41,79.70,78.24,75.09,71.26,64.74,60.46
"2/13/2012 22:20:9",74,47.30,79.70,78.12,74.97,71.26,64.74,60.46
"2/13/2012 22:20:13",74,47.30,79.59,78.01,74.97,71.26,64.74,60.46
"2/13/2012 22:20:17",74,47.30,79.47,78.12,74.97,71.26,64.74,60.46
"2/13/2012 22:20:21",74,47.41,79.47,78.01,74.86,71.26,64.74,60.46
"2/13/2012 22:20:26",73,47.41,79.36,78.01,74.86,71.26,64.74,60.46
"2/13/2012 22:20:30",73,47.30,79.25,78.01,74.86,71.15,64.62,60.35
"2/13/2012 22:20:38",73,47.41,79.36,77.90,74.86,71.26,64.74,60.46
"2/13/2012 22:20:43",73,47.41,79.14,77.79,74.86,71.26,64.74,60.35
"2/13/2012 22:20:45",73,47.41,79.14,77.68,74.86,71.04,64.74,60.46
"2/13/2012 22:20:48",111,47.30,79.02,32.00,74.86,71.15,64.74,60.46
"2/13/2012 22:20:50",73,47.41,79.14,77.68,74.86,71.04,64.62,60.46
"2/13/2012 22:20:56",73,47.41,79.02,77.68,74.75,71.15,64.62,60.35
"2/13/2012 22:21:1",73,47.41,78.91,77.56,74.75,71.04,64.74,60.46
"2/13/2012 22:21:4",73,47.41,79.02,77.45,74.75,71.04,64.62,60.46
"2/13/2012 22:21:7",73,47.41,79.02,77.45,74.64,71.15,64.62,60.46
"2/13/2012 22:21:9",72,47.41,78.80,77.34,74.64,71.04,64.62,60.46
"2/13/2012 22:21:12",73,47.41,79.02,77.34,74.64,71.15,64.62,60.46
"2/13/2012 22:21:21",73,47.41,78.91,77.34,74.64,71.04,64.62,60.46
"2/13/2012 22:21:26",73,47.41,78.91,77.34,74.52,71.04,64.62,60.46
"2/13/2012 22:21:27",73,47.41,78.91,77.22,74.52,71.04,64.62,60.46
"2/13/2012 22:21:30",73,47.41,78.91,77.22,74.41,71.04,64.51,60.46
"2/13/2012 22:21:33",72,47.41,78.69,77.22,74.52,71.04,64.51,60.46
"2/13/2012 22:21:36",72,47.41,78.69,77.11,74.41,71.04,64.51,60.35
"2/13/2012 22:21:38",72,47.41,78.69,77.22,74.41,71.04,64.40,60.35
"2/13/2012 22:21:40",72,47.41,78.69,77.11,74.41,70.93,64.51,60.35
"2/13/2012 22:21:46",72,47.53,78.69,77.11,74.41,70.93,64.51,60.35
"2/13/2012 22:21:51",72,47.41,78.57,77.11,74.41,70.93,64.51,60.46
"2/13/2012 22:21:54",72,47.41,78.57,77.11,74.41,70.93,64.51,60.35
"2/13/2012 22:21:59",72,47.41,78.57,77.11,74.41,70.93,64.51,60.46
"2/13/2012 22:22:2",72,47.41,78.46,77.11,74.41,70.81,64.62,60.46
"2/13/2012 22:22:4",72,47.41,78.46,77.00,74.41,70.81,64.51,60.35
"2/13/2012 22:22:6",72,47.41,78.46,77.00,74.30,70.81,64.51,60.35
"2/13/2012 22:22:9",72,47.41,78.35,77.00,74.30,70.81,64.51,60.35
"2/13/2012 22:22:14",72,47.41,78.35,77.00,74.30,70.81,64.51,60.35
"2/13/2012 22:22:17",72,47.41,78.35,77.00,74.19,70.81,64.51,60.35
"2/13/2012 22:22:20",72,47.41,78.35,77.00,74.19,70.81,64.51,60.35
"2/13/2012 22:22:23",72,47.41,78.24,76.89,74.19,70.81,64.51,60.35
"2/13/2012 22:22:25",72,47.41,78.24,76.89,74.07,70.81,64.40,60.35
"2/13/2012 22:22:32",72,47.41,78.24,77.00,74.19,70.81,64.51,60.35
"2/13/2012 22:22:36",72,47.41,78.24,77.00,74.07,70.81,64.51,60.35
"2/13/2012 22:22:40",71,47.41,78.24,77.00,73.96,70.81,64.51,60.46
"2/13/2012 22:22:44",71,47.41,78.01,76.89,73.96,70.81,64.51,60.35
"2/13/2012 22:22:46",71,47.30,78.01,76.89,73.96,70.81,64.40,60.35
"2/13/2012 22:22:50",71,47.30,78.01,76.77,73.96,70.70,64.51,60.35
"2/13/2012 22:22:52",71,47.30,78.12,76.89,73.85,70.70,64.51,60.35
